TimestepsSoFar,EpRewMean,EpThisIter,loss_pol_surr,EpisodesSoFar,TimeElapsed,loss_ent,loss_kl,loss_vf_loss,loss_pol_entpen,EpLenMean,ev_tdlam_before,value_loss,explained_variance,nupdates,policy_entropy,fps,total_timesteps
4096,-0.8333333333333334,6,-0.011508602,6,7.404392242431641,2.0710995,0.008439483,0.033081897,0.0,631.5,0.002072453498840332,,,,,,
8192,-0.9166666666666666,6,-0.0066558314,12,14.260003328323364,2.0691528,0.0025728426,0.027787777,0.0,633.1666666666666,0.7965855449438095,,,,,,
12288,-0.3684210526315789,7,-0.0018102669,19,21.208983659744263,2.0669553,0.00028657983,0.030832931,0.0,635.0526315789474,0.88459612429142,,,,,,
10240,-4.9411764705882355,1,-3.7268735e-05,17,89.95352005958557,1.9109292,2.561137e-08,0.024368634,-0.019109292,597.1176470588235,0.6920265257358551,0.39041680097579956,-62213.05078125,1,2.0794315338134766,17,5
,,,,,,,,,,,,0.09358431398868561,-1103.247802734375,100,2.0793941020965576,109,500
,,,,,,,,,,,,0.1777406632900238,-4886.0556640625,200,2.0793614387512207,115,1000
,,,,,,,,,,,,0.12683555483818054,-4118.072265625,300,2.0790936946868896,116,1500
,,,,,,,,,,,,0.019165832549333572,-286.1226806640625,400,2.078281879425049,117,2000
,,,,,,,,,,,,0.09525083005428314,-565.0012817382812,500,2.077038288116455,120,2500
,,,,,,,,,,,,0.032791804522275925,-182.9135284423828,600,2.07840633392334,123,3000
,,,,,,,,,,,,0.005675469990819693,-49.18466567993164,700,2.0749123096466064,121,3500
,,,,,,,,,,,,0.00918815191835165,-5265.95166015625,800,2.07621431350708,119,4000
,,,,,,,,,,,,0.007082710508257151,-16314.15625,900,2.0768089294433594,119,4500
,,,,,,,,,,,,0.00725845480337739,-38.03504943847656,1000,2.0740997791290283,117,5000
,,,,,,,,,,,,0.004065611865371466,-82.36986541748047,1100,2.078916072845459,118,5500
,,,,,,,,,,,,0.0003347586025483906,-1.985450267791748,1200,2.069441795349121,117,6000
,,,,,,,,,,,,0.00035748365917243063,-0.6943984031677246,1300,2.071882724761963,117,6500
,,,,,,,,,,,,0.015272324904799461,-3815.045654296875,1400,2.0735466480255127,117,7000
,,,,,,,,,,,,0.2735387980937958,0.17382723093032837,1500,2.070389986038208,117,7500
,,,,,,,,,,,,0.0038556724321097136,-11.368301391601562,1600,2.0411128997802734,116,8000
,,,,,,,,,,,,0.0024099976290017366,-80999047.0,1700,2.0619020462036133,116,8500
,,,,,,,,,,,,0.00011351935245329514,-0.4766284227371216,1800,2.0332629680633545,117,9000
,,,,,,,,,,,,0.0005376124172471464,-6.362135410308838,1900,2.062282085418701,115,9500
,,,,,,,,,,,,0.0033611736726015806,-3338.690185546875,2000,2.0556132793426514,116,10000
10240,-4.823529411764706,1,-2.5764108e-05,17,88.57422876358032,1.9004791,1.6763806e-08,0.010999206,-0.019004792,593.9411764705883,0.7914126664400101,0.0717511922121048,-1013.1052856445312,1,2.079439401626587,17,5
,,,,,,,,,,,,0.42329326272010803,-381722.75,100,2.0794155597686768,105,500
,,,,,,,,,,,,0.16670358180999756,-1846.7646484375,200,2.0794155597686768,109,1000
,,,,,,,,,,,,0.27952539920806885,-1029.8988037109375,300,2.078900098800659,110,1500
,,,,,,,,,,,,0.21632787585258484,-687.3927612304688,400,2.0788276195526123,105,2000
,,,,,,,,,,,,0.00035091748577542603,-49.96585464477539,500,2.0786664485931396,105,2500
,,,,,,,,,,,,0.0037644256372004747,-363.12652587890625,600,2.0787887573242188,104,3000
,,,,,,,,,,,,0.0011916076764464378,-292.872802734375,700,2.0783305168151855,105,3500
,,,,,,,,,,,,0.0028358749113976955,-68.9317626953125,800,2.0701565742492676,103,4000
,,,,,,,,,,,,0.009443959221243858,-296.1969909667969,900,2.0749480724334717,104,4500
,,,,,,,,,,,,0.006821838207542896,-78.85092163085938,1000,2.0646486282348633,105,5000
,,,,,,,,,,,,0.03841990977525711,0.5710165798664093,1100,2.063101291656494,107,5500
,,,,,,,,,,,,0.004042580723762512,-72.64227294921875,1200,2.0392098426818848,108,6000
,,,,,,,,,,,,0.022768260911107063,-51.52438735961914,1300,2.0354905128479004,108,6500
,,,,,,,,,,,,0.0023791652638465166,-40.95564270019531,1400,2.047623634338379,108,7000
,,,,,,,,,,,,0.005974269937723875,-126.9141616821289,1500,2.0771596431732178,108,7500
,,,,,,,,,,,,0.01825372502207756,-69.80618286132812,1600,2.0566678047180176,108,8000
,,,,,,,,,,,,0.003614461049437523,-103.1431884765625,1700,2.0257437229156494,108,8500
,,,,,,,,,,,,0.002627267735078931,-23.1198787689209,1800,2.048663377761841,108,9000
,,,,,,,,,,,,0.004704481456428766,-47.47745132446289,1900,2.0531163215637207,108,9500
,,,,,,,,,,,,0.00026403644005768,-2.2193853855133057,2000,2.053532600402832,108,10000
